"","X","type","Gwh"
"130","Nebraska","onshoreWind_GWh",3011252
"131","Nevada","onshoreWind_GWh",17709
"132","New Hampshire","onshoreWind_GWh",5706
"133","New Jersey","onshoreWind_GWh",317
"134","New Mexico","onshoreWind_GWh",1399156
"135","New York","onshoreWind_GWh",63565
"136","North Carolina","onshoreWind_GWh",2037
"137","North Dakota","onshoreWind_GWh",2537824
"138","Ohio","onshoreWind_GWh",129142
"139","Oklahoma","onshoreWind_GWh",1521651
"140","Oregon","onshoreWind_GWh",68766
"141","Pennsylvania","onshoreWind_GWh",8230
"142","Rhode Island","onshoreWind_GWh",129
"143","South Carolina","onshoreWind_GWh",427
"144","South Dakota","onshoreWind_GWh",2901858
"145","Tennessee","onshoreWind_GWh",765
"146","Texas","onshoreWind_GWh",5552399
"147","Utah","onshoreWind_GWh",31552
"148","Vermont","onshoreWind_GWh",7795
"149","Virginia","onshoreWind_GWh",4589
"150","Washington","onshoreWind_GWh",47249
"151","West Virginia","onshoreWind_GWh",4951
"152","Wisconsin","onshoreWind_GWh",255266
"153","Wyoming","onshoreWind_GWh",1653856
